"DOY" "Depth" "PON" "Year"
59 5 0.255 1989
59 42 0.18 1989
59 71.8 0.242 1989
59 100.2 0.227 1989
59 126.4 0.12 1989
59 148.4 0.113 1989
59 177.6 0.061 1989
59 247.7 0.032 1989
138 1.3 0.272 1989
138 20.8 0.3 1989
138 40.9 0.293 1989
138 73.5 0.223 1989
138 98.2 0.272 1989
138 125.2 0.209 1989
138 149.8 0.098 1989
138 174.6 0.077 1989
138 252.3 0.056 1989
211 7.6 0.293 1989
211 27.8 0.301 1989
211 47.4 0.326 1989
211 76.2 0.218 1989
211 105 0.236 1989
211 129.8 0.205 1989
211 154.2 0.073 1989
211 180.7 0.084 1989
211 255.7 0.06 1989
237 6.1 0.317 1989
237 26.3 0.348 1989
237 46.9 0.31 1989
237 77.2 0.284 1989
237 103.2 0.264 1989
237 130.1 0.219 1989
237 156.9 0.122 1989
237 183.6 0.097 1989
267 78 0.398 1989
267 104.1 0.237 1989
267 155.7 0.174 1989
267 181 0.091 1989
267 257.8 0.091 1989
293 25.1 0.363 1989
293 45.3 0.314 1989
293 75.7 0.251 1989
293 101.3 0.314 1989
293 128.2 0.209 1989
293 155.6 0.105 1989
293 183.2 0.119 1989
293 260.8 0.077 1989
6 4.9 0.181 1990
6 25.5 0.204 1990
6 25.4 0.175 1990
6 25.6 0.203 1990
6 46.1 0.216 1990
6 75.6 0.192 1990
6 102.1 0.109 1990
6 102 0.096 1990
6 126.7 0.084 1990
6 154 0.069 1990
6 179.5 0.061 1990
6 258.2 0.065 1990
46 6.4 0.258 1990
46 25.6 0.251 1990
46 45.9 0.272 1990
46 76.1 0.279 1990
46 125.9 0.153 1990
46 153.3 0.084 1990
46 178.8 0.049 1990
46 257.4 0.035 1990
80 4.7 0.286 1990
80 24.6 0.279 1990
80 44.2 0.286 1990
80 73.7 0.3 1990
80 104.3 0.272 1990
80 128.9 0.153 1990
80 152.2 0.132 1990
80 176 0.119 1990
80 257.3 0.105 1990
103 6.4 0.3 1990
103 6.3 0.307 1990
102 6.3 0.314 1990
102 31.1 0.307 1990
102 31 0.314 1990
102 45.6 0.293 1990
102 75.7 0.23 1990
102 101.5 0.216 1990
102 143.2 0.174 1990
