"DOY" "Depth" "CHL" "Year"
305 25.5 0.13 1988
305 42.9 0.19 1988
305 68.3 0.29 1988
305 114.4 0.33 1988
337 21.2 0.19 1988
337 46.2 0.18 1988
337 71.1 0.38 1988
337 97.9 0.27 1988
337 122.9 0.17 1988
337 148.6 0.04 1988
337 177.6 0.03 1988
8 72.7 0.24 1989
8 97.7 0.27 1989
8 122.2 0.24 1989
8 146.8 0.14 1989
8 176.8 0.06 1989
59 5.8 0.13 1989
59 22.1 0.13 1989
59 41.8 0.17 1989
59 71.8 0.19 1989
59 99.6 0.22 1989
59 123.2 0.17 1989
59 151.1 0.06 1989
59 177.4 0.02 1989
88 40.8 0.11 1989
88 71.7 0.19 1989
88 81.6 0.19 1989
88 92.5 0.22 1989
88 101.9 0.34 1989
88 111.7 0.43 1989
88 121.6 0.3 1989
88 127.4 0.23 1989
88 133.7 0.17 1989
88 143.6 0.13 1989
88 152.5 0.11 1989
88 200.2 0.01 1989
210 204.9 0.02 1989
210 5.6 0.13 1989
210 27.4 0.13 1989
210 46.8 0.16 1989
210 61.7 0.14 1989
210 77.3 0.19 1989
210 87.8 0.22 1989
210 98.5 0.37 1989
210 109.3 0.36 1989
210 119.2 0.28 1989
210 130.5 0.26 1989
210 156 0.1 1989
210 181.1 0.01 1989
210 5 0.15 1989
210 25 0.14 1989
210 45 0.15 1989
210 75 0.19 1989
210 100 0.35 1989
210 125 0.23 1989
210 150 0.09 1989
210 175 0.1 1989
236 203.8 0.02 1989
236 25.8 0.13 1989
236 45.8 0.12 1989
236 61.6 0.17 1989
236 76.1 0.25 1989
236 87.3 0.34 1989
236 97.4 0.31 1989
236 109 0.32 1989
236 118 0.25 1989
236 130.5 0.19 1989
236 157 0.08 1989
236 181.8 0.05 1989
266 6.3 0.1 1989
266 26.5 0.15 1989
266 47.4 0.15 1989
266 63.2 0.09 1989
266 89.1 0.25 1989
266 98.6 0.43 1989
266 111.2 0.31 1989
266 119.9 0.26 1989
266 131.7 0.2 1989
266 157.5 0.05 1989
266 182.1 0.02 1989
266 206.7 0.01 1989
265 2 0.12 1989
265 10 0.13 1989
265 45 0.13 1989
265 75 0.11 1989
265 100 0.22 1989
265 125 0.14 1989
265 150 0.04 1989
265 175 0.02 1989
292 4.8 0.08 1989
292 25.5 0.1 1989
292 45.4 0.13 1989
292 61.7 0.15 1989
292 76.4 0.2 1989
292 86.7 0.36 1989
292 96.5 0.29 1989
292 106.4 0.16 1989
292 116.8 0.14 1989
292 129.7 0.08 1989
292 153.9 0.03 1989
292 181.7 0.01 1989
292 207.3 0.01 1989
291 5 0.12 1989
291 20 0.11 1989
291 45 0.21 1989
291 80 0.26 1989
291 100 0.15 1989
291 120 0.07 1989
291 160 0.02 1989
291 175 0.01 1989
332 5.8 0.1 1989
332 25.3 0.13 1989
332 45.6 0.13 1989
332 61.6 0.18 1989
332 76.5 0.25 1989
332 86.6 0.3 1989
332 96.3 0.3 1989
332 106.7 0.23 1989
332 119.6 0.11 1989
332 130.6 0.07 1989
332 155.4 0.03 1989
332 181.5 0.01 1989
332 2 0.11 1989
332 10 0.11 1989
332 20 0.11 1989
332 45 0.12 1989
332 65 0.22 1989
332 95 0.28 1989
332 110 0.21 1989
332 140 0.05 1989
5 14.3 0.13 1990
5 34 0.13 1990
5 45.8 0.12 1990
5 60 0.17 1990
5 75.5 0.28 1990
5 85.6 0.48 1990
5 95.1 0.28 1990
5 105.9 0.26 1990
5 117.3 0.2 1990
5 126.9 0.09 1990
5 136.8 0.02 1990
5 12.3 0.01 1990
5 26.7 0.1 1990
5 160.6 0.04 1990
5 177.8 0.01 1990
5 215.3 0.01 1990
5 2 0.12 1990
5 10 0.11 1990
5 40 0.13 1990
5 80 0.19 1990
5 95 0.17 1990
5 120 0.12 1990
5 145 0.06 1990
5 175 0.01 1990
47 24.9 0.09 1990
47 34.9 0.09 1990
47 45.9 0.11 1990
47 60.8 0.11 1990
47 75.6 0.21 1990
47 85.3 0.29 1990
47 96.4 0.34 1990
47 105.9 0.24 1990
47 115.6 0.16 1990
47 125.4 0.1 1990
47 135.7 0.03 1990
47 151 0.01 1990
46 4 0.08 1990
46 10 0.1 1990
46 30 0.11 1990
46 70 0.22 1990
46 88 0.33 1990
46 115 0.22 1990
46 135 0.11 1990
46 160 0.04 1990
77 176.4 0.03 1990
77 5.2 0.09 1990
77 27.3 0.09 1990
77 47 0.09 1990
77 76.2 0.14 1990
77 98.4 0.22 1990
77 123.2 0.19 1990
77 148.5 0.05 1990
78 116.7 0.26 1990
78 126.9 0.25 1990
78 137.2 0.18 1990
78 151.7 0.09 1990
78 163.1 0.09 1990
78 177.8 0.05 1990
78 203.7 0.01 1990
78 15.7 0.08 1990
78 35.1 0.09 1990
78 45.3 0.08 1990
78 60.6 0.09 1990
78 75.1 0.07 1990
78 87.1 0.09 1990
78 99 0.11 1990
78 110 0.24 1990
78 149.5 0.1 1990
78 175.2 0.05 1990
79 6 0.09 1990
79 25.8 0.09 1990
79 45.7 0.1 1990
79 75.1 0.15 1990
79 99.3 0.2 1990
79 124 0.16 1990
79 149.6 0.1 1990
79 175.2 0.02 1990
78 5 0.09 1990
78 25 0.11 1990
78 45 0.1 1990
78 75 0.17 1990
78 100 0.2 1990
78 125 0.27 1990
78 150 0.05 1990
78 175 0.04 1990
103 117.3 0.1 1990
103 128.7 0.2 1990
103 137 0.16 1990
103 152.2 0.15 1990
103 162.4 0.17 1990
103 178.8 0.09 1990
103 16.6 0.06 1990
103 25.7 0.05 1990
103 36.9 0.06 1990
103 45.9 0.07 1990
103 61.8 0.08 1990
103 61.8 0.08 1990
103 78 0.09 1990
103 98.5 0.09 1990
103 108.8 0.13 1990
103 2 0.09 1990
103 10 0.1 1990
103 40 0.13 1990
103 80 0.17 1990
103 95 0.23 1990
103 120 0.32 1990
103 145 0.13 1990
103 175 0.08 1990
129 6.2 0.08 1990
129 15.7 0.08 1990
129 26.9 0.08 1990
129 36.8 0.09 1990
129 46.4 0.09 1990
129 62.7 0.11 1990
129 77.4 0.12 1990
129 87.4 0.13 1990
129 97.9 0.13 1990
129 106.8 0.21 1990
129 118 0.29 1990
129 129.9 0.4 1990
129 137 0.26 1990
129 154.4 0.16 1990
129 165.7 0.09 1990
129 182.3 0.06 1990
129 209 0.02 1990
129 5 0.03 1990
129 25 0.1 1990
129 45 0.11 1990
129 75 0.14 1990
129 100 0.5 1990
129 125 0.28 1990
129 150 0.1 1990
129 175 0.06 1990
164 5.2 0.05 1990
164 15.1 0.05 1990
164 26.2 0.05 1990
164 35.1 0.05 1990
164 45.6 0.06 1990
164 60.7 0.06 1990
164 76 0.09 1990
164 96.7 0.09 1990
164 106.9 0.1 1990
164 117.2 0.14 1990
164 127.1 0.23 1990
164 137.2 0.15 1990
164 154.2 0.08 1990
164 165.6 0.05 1990
164 181.8 0.02 1990
164 207.5 0.01 1990
164 5 0.05 1990
164 25 0.04 1990
164 45 0.06 1990
164 75 0.11 1990
164 100 0.22 1990
164 125 0.08 1990
164 150 0.02 1990
164 175 0.02 1990
206 4.7 0.04 1990
206 15.1 0.04 1990
206 26.5 0.04 1990
206 36.8 0.05 1990
206 46.3 0.07 1990
206 61.7 0.09 1990
206 77.4 0.11 1990
206 87.2 0.17 1990
206 97.1 0.21 1990
206 108.1 0.22 1990
206 117.5 0.1 1990
206 137.5 0.06 1990
206 153.4 0.03 1990
206 164.7 0.02 1990
206 181.6 0.01 1990
206 207.8 0.01 1990
206 5 0.04 1990
206 25 0.04 1990
206 45 0.08 1990
206 75 0.11 1990
206 100 0.2 1990
206 125 0.08 1990
206 150 0.04 1990
206 175 0.02 1990
352 129.9 0.12 1990
352 139.3 0.06 1990
352 154.7 0.02 1990
352 166.3 0.01 1990
352 7 0.07 1990
352 14.9 0.06 1990
352 27 0.07 1990
352 45.8 0.07 1990
352 45.8 0.07 1990
352 61.9 0.12 1990
352 76.5 0.12 1990
352 86 0.15 1990
352 96.2 0.14 1990
352 106.2 0.21 1990
352 122.5 0.15 1990
352 78.2 0.15 1990
352 92.9 0.19 1990
352 103.7 0.15 1990
352 113.6 0.11 1990
352 122.5 0.05 1990
352 143.3 0.04 1990
352 30.9 0.12 1990
352 71.8 0.12 1990
352 90 0.12 1990
352 112.5 0.17 1990
352 8.7 0.13 1990
352 48.4 0.11 1990
352 77.9 0.12 1990
352 102.4 0.17 1990
352 127.1 0.05 1990
352 155.6 0.02 1990
352 28.5 0.12 1990
352 45.7 0.12 1990
352 76.5 0.22 1990
352 102 0.18 1990
352 114.1 0.09 1990
352 122.5 0.05 1990
352 141.3 0.02 1990
353 27.2 0.1 1990
353 46.8 0.1 1990
353 77.4 0.11 1990
353 97.7 0.23 1990
353 113.6 0.15 1990
353 124.5 0.06 1990
353 153.7 0.02 1990
352 5 0.09 1990
352 25 0.09 1990
352 45 0.09 1990
352 75 0.1 1990
352 100 0.15 1990
352 125 0.05 1990
352 150 0.01 1990
34 6 0.06 1991
34 16.2 0.06 1991
34 26.1 0.06 1991
34 36 0.07 1991
34 49.6 0.07 1991
34 62.1 0.07 1991
34 75.6 0.07 1991
34 88.4 0.1 1991
34 99.1 0.13 1991
34 107.3 0.14 1991
34 118.2 0.14 1991
34 128.5 0.17 1991
34 139 0.12 1991
34 154.8 0.08 1991
34 168 0.05 1991
34 182.3 0.03 1991
35 5 0.07 1991
35 25 0.06 1991
35 75 0.1 1991
35 100 0.14 1991
35 125 0.13 1991
65 5.4 0.06 1991
65 16.1 0.06 1991
65 19.1 0.06 1991
65 36.8 0.07 1991
65 39.7 0.07 1991
65 63.7 0.08 1991
65 78.9 0.09 1991
65 86.2 0.09 1991
65 94.7 0.1 1991
65 105.3 0.11 1991
65 117.6 0.2 1991
65 126.5 0.21 1991
65 139.2 0.19 1991
65 153.9 0.05 1991
65 163.8 0.05 1991
65 182.5 0.06 1991
66 34.9 0.06 1991
66 113.5 0.18 1991
66 119.2 0.18 1991
66 129 0.17 1991
66 136.8 0.11 1991
66 144.5 0.06 1991
66 148.8 0.06 1991
66 77.9 0.12 1991
66 106.7 0.15 1991
66 127.4 0.19 1991
66 127.4 0.2 1991
66 129.3 0.17 1991
66 139.8 0.15 1991
66 159.8 0.07 1991
100 8 0.07 1991
100 17.4 0.07 1991
100 27.2 0.07 1991
100 37.9 0.09 1991
100 48.7 0.08 1991
100 65.1 0.12 1991
100 77.5 0.18 1991
100 88.9 0.31 1991
100 98.6 0.29 1991
100 108.2 0.16 1991
100 119.6 0.12 1991
100 130.3 0.1 1991
100 157.1 0.04 1991
100 168.1 0.04 1991
100 181.3 0.02 1991
100 209.7 0.01 1991
100 5 0.09 1991
100 25 0.09 1991
100 45 0.09 1991
100 75 0.13 1991
100 100 0.19 1991
100 125 0.23 1991
100 150 0.06 1991
100 175 0.04 1991
128 9.6 0.09 1991
128 18.3 0.09 1991
128 26.4 0.09 1991
128 36.7 0.11 1991
128 46 0.1 1991
128 78 0.12 1991
128 86.9 0.11 1991
128 98 0.12 1991
128 104.6 0.16 1991
128 114.8 0.19 1991
128 126.3 0.22 1991
128 140.5 0.22 1991
128 157.2 0.16 1991
128 165.4 0.16 1991
128 188.5 0.06 1991
128 5 0.09 1991
128 25 0.11 1991
128 45 0.11 1991
128 75 0.14 1991
128 100 0.18 1991
128 125 0.22 1991
128 150 0.14 1991
128 175 0.1 1991
156 6.5 0.07 1991
156 16.2 0.08 1991
156 27.8 0.07 1991
156 37.9 0.08 1991
156 47.7 0.11 1991
156 63.6 0.1 1991
156 78.2 0.18 1991
156 90.2 0.2 1991
156 99.2 0.21 1991
156 109.6 0.23 1991
156 120.2 0.2 1991
156 130.2 0.24 1991
156 139 0.16 1991
156 169.5 0.05 1991
156 210 0.01 1991
156 5 0.1 1991
156 25 0.1 1991
156 45 0.1 1991
156 75 0.12 1991
156 100 0.16 1991
156 125 0.21 1991
156 150 0.09 1991
156 175 0.02 1991
191 3.3 0.07 1991
191 13.3 0.06 1991
191 23.3 0.06 1991
191 34 0.08 1991
191 43.2 0.1 1991
