"DOY" "Depth" "DIN" "Year"
305 4.7 0.02 1988
305 39.4 0.04 1988
305 99.4 0.21 1988
305 150.3 2.07 1988
305 191.8 2.26 1988
305 217 3.79 1988
305 279.9 8.01 1988
305 25.5 0.04 1988
305 42.9 0.02 1988
305 114.4 0.4 1988
306 16.6 0.02 1988
306 56.4 0.02 1988
306 117.3 0.36 1988
306 137.8 1.3 1988
306 157.7 2.37 1988
306 181.8 3.07 1988
306 204.2 4.21 1988
306 228.8 4.92 1988
337 15.6 0.07 1988
337 99.5 0.18 1988
337 136.4 0.12 1988
337 173.3 2.23 1988
337 238 3.43 1988
337 1.5 0.05 1988
337 21.2 0.05 1988
337 46.2 0.07 1988
337 71.1 0.05 1988
337 97.9 0.21 1988
337 122.9 0.72 1988
337 148.6 1.61 1988
337 177.6 2.03 1988
337 1.6 0.05 1988
337 16.2 0.05 1988
337 37.8 0.07 1988
337 57.9 0.07 1988
337 79.2 0.07 1988
337 98.9 0.55 1988
337 119.7 0.76 1988
337 139.8 1.59 1988
337 161.5 1.77 1988
337 181.1 2.05 1988
337 258.5 5.35 1988
338 277.2 6.72 1988
8 35.9 0.02 1989
8 204.9 3.41 1989
8 19.7 0.02 1989
8 118.8 0.38 1989
8 186 2.75 1989
8 252.9 5.2 1989
8 4.9 0.02 1989
8 22.8 0.04 1989
8 43.3 0.02 1989
8 72.7 0.04 1989
8 97.7 0.04 1989
8 122.2 0.11 1989
8 146.8 0.61 1989
8 176.8 1.49 1989
9 2.8 0.02 1989
8 38.2 0.02 1989
8 56.7 0.04 1989
8 79.4 0.04 1989
8 96.6 0.1 1989
8 117.5 0.49 1989
8 139.2 1.02 1989
8 151.6 1.81 1989
8 163.4 2.09 1989
8 186.7 3.2 1989
8 230.8 4.6 1989
9 201.3 2.82 1989
9 251 5.16 1989
9 278 5.72 1989
58 8.7 0.07 1989
58 18.8 0.05 1989
58 38.5 0.07 1989
58 58.4 0.05 1989
58 78.4 0.05 1989
58 98.4 0.07 1989
58 108.2 0.05 1989
58 118.3 0.07 1989
58 131.3 0.29 1989
58 141.4 0.98 1989
58 151.3 1.53 1989
58 163 2.16 1989
59 179.4 3.23 1989
59 226.3 4.91 1989
59 250.9 6.57 1989
59 270.4 7.8 1989
59 299.8 9.29 1989
59 201 3.97 1989
59 5.8 0.02 1989
59 22.1 0.02 1989
59 41.8 0.02 1989
59 71.8 0.05 1989
59 99.6 0.07 1989
59 123.2 0.21 1989
59 151.1 2.31 1989
59 177.4 3.11 1989
59 47 0.05 1989
59 131 0.24 1989
59 162.1 1.91 1989
59 203.7 3.95 1989
59 299.8 9.72 1989
86 26.7 0.14 1989
86 111.1 0.05 1989
86 144.1 0.92 1989
86 212 3.08 1989
86 266.8 5.15 1989
88 40.8 0.02 1989
88 71.7 0.02 1989
88 81.6 0.02 1989
88 92.5 0.05 1989
88 101.9 0.05 1989
88 111.7 0.05 1989
88 121.6 0.47 1989
88 127.4 0.69 1989
88 133.7 0.98 1989
88 143.6 1.25 1989
88 152.5 1.39 1989
88 200.2 3.22 1989
138 136.1 1.92 1989
138 201 4.91 1989
138 281.2 10.17 1989
138 4.5 0.01 1989
138 99 0.41 1989
138 108.7 0.96 1989
138 119.1 1.86 1989
138 129 2.68 1989
138 139.8 2.85 1989
138 159.7 3.23 1989
138 179.6 4.45 1989
138 199.7 4.81 1989
138 250.6 7.3 1989
138 273.5 8.9 1989
175 15.3 0.05 1989
175 79.6 0.02 1989
175 99.5 0.02 1989
175 139.5 0.36 1989
175 199.2 5.05 1989
175 242.8 10.18 1989
175 49.1 0.02 1989
175 127.6 0.05 1989
175 225.5 5.73 1989
175 105.2 0.04 1989
175 257.6 7.21 1989
175 279.8 8.33 1989
209 54.3 0.02 1989
209 98.5 0.02 1989
209 148.5 1.34 1989
209 206.8 4.3 1989
209 288 10.63 1989
210 204.9 4.92 1989
210 228 5.91 1989
210 253.5 7.45 1989
210 5.6 0.02 1989
210 27.4 0.02 1989
210 46.8 0.02 1989
210 61.7 0.02 1989
210 77.3 0.02 1989
210 87.8 0.02 1989
210 98.5 0.04 1989
210 109.3 0.04 1989
210 119.2 0.06 1989
210 130.5 0.12 1989
210 156 1.99 1989
210 181.1 3.66 1989
211 4.6 0.0059 1989
211 15.6 0.0049 1989
211 30.3 0.0039 1989
211 45.9 0.0068 1989
211 60.1 0.0029 1989
211 76.8 0.0059 1989
211 92.4 0.0078 1989
211 102.6 0.0117 1989
212 3.9 0.001 1989
212 13.9 0.002 1989
212 29.5 0.0029 1989
212 44.7 0.0029 1989
212 60.7 0.0029 1989
212 101.2 0.0029 1989
235 59.9 0.02 1989
235 91.6 0.04 1989
235 139.3 0.63 1989
235 191.7 3.62 1989
235 227.3 4.43 1989
235 299.8 10.82 1989
236 203.8 3.91 1989
236 230.9 5.05 1989
236 255.6 7.38 1989
236 4.8 0.01 1989
236 25.8 0.02 1989
236 45.8 0.02 1989
236 61.6 0.02 1989
236 76.1 0.02 1989
236 97.4 0.01 1989
