"DOY" "Depth" "PP" "Year"
210 5 3.89 1989
210 25 5.025 1989
210 45 6.295 1989
210 75 3.795 1989
210 100 3.145 1989
210 125 0.845 1989
210 150 0.225 1989
210 175 0.15 1989
265 2 3.8 1989
265 10 5.21 1989
265 45 5.29 1989
265 75 0.79 1989
265 100 3.03 1989
265 125 0.69 1989
265 150 0.12 1989
265 175 0.125 1989
291 5 5.225 1989
291 20 3.61 1989
291 45 6.545 1989
291 80 3.715 1989
291 100 1.19 1989
291 120 0.325 1989
291 160 0.09 1989
291 175 0.08 1989
332 2 2.09 1989
332 10 2.49 1989
332 20 5.68 1989
332 45 2.715 1989
332 65 3.835 1989
332 95 2.11 1989
332 110 0.605 1989
332 140 0.11 1989
5 2 4.68 1990
5 10 4.59 1990
5 40 3.97 1990
5 80 1.82 1990
5 95 1.545 1990
5 120 0.7 1990
5 145 0.145 1990
5 175 0.085 1990
46 4 2.53 1990
46 10 5.53 1990
46 30 3.08 1990
46 70 3.295 1990
46 88 2.63 1990
46 115 0.83 1990
46 135 0.26 1990
78 5 4.203 1990
78 25 3.643 1990
78 45 4.663 1990
78 75 4.84 1990
78 100 3.497 1990
78 125 1.723 1990
78 150 0.283 1990
78 175 0.133 1990
103 2 2.7 1990
103 10 0.98 1990
103 40 2.41 1990
103 80 1.855 1990
103 95 4.58 1990
103 120 1.9 1990
103 145 0.855 1990
103 175 0.13 1990
129 5 6.39 1990
129 25 2.87 1990
129 45 5.62 1990
129 75 2.905 1990
129 100 4.685 1990
129 125 1.1 1990
129 150 0.17 1990
129 175 0.07 1990
164 5 3.31 1990
164 25 1.29 1990
164 45 1.27 1990
164 75 2.387 1990
164 100 4.18 1990
164 125 0.59 1990
164 150 0.087 1990
164 175 0.083 1990
206 5 1.923 1990
206 25 1.44 1990
206 45 4.227 1990
206 75 3.26 1990
206 100 3.243 1990
206 125 0.393 1990
206 150 0.16 1990
352 5 5.017 1990
352 25 4.74 1990
352 45 3.117 1990
352 75 1.093 1990
352 100 0.897 1990
352 125 0.17 1990
352 150 0.045 1990
35 5 5.72 1991
35 25 5.473 1991
35 75 2.6 1991
35 100 0.967 1991
35 125 0.55 1991
35 150 0.067 1991
35 175 0.02 1991
100 5 5.04 1991
100 25 6.653 1991
100 45 5.09 1991
100 75 2.853 1991
100 100 1.573 1991
100 125 0.723 1991
100 150 0.11 1991
100 175 0.043 1991
128 5 11.385 1991
128 25 10.69 1991
128 45 7.3 1991
128 75 4.28 1991
128 100 2.255 1991
128 125 1.697 1991
128 150 0.3 1991
128 175 0.065 1991
156 5 6.21 1991
156 25 8.535 1991
156 45 7.05 1991
156 75 3.203 1991
156 100 1.457 1991
156 125 0.78 1991
156 150 0.17 1991
156 175 0.035 1991
191 5 4.587 1991
191 25 6.403 1991
191 45 4.24 1991
191 75 3.507 1991
191 100 1.92 1991
191 125 0.863 1991
191 150 0.143 1991
191 175 0.075 1991
222 5 6.957 1991
222 25 6.747 1991
222 45 5.485 1991
222 75 3.15 1991
222 100 1.27 1991
222 125 0.737 1991
222 150 0.153 1991
222 175 0.057 1991
261 5 7.475 1991
261 25 7.827 1991
261 45 5.93 1991
261 75 3.55 1991
261 100 1.473 1991
261 125 0.533 1991
261 150 0.057 1991
261 175 0.107 1991
294 5 9.59 1991
294 25 6.453 1991
294 45 5.233 1991
294 75 2.617 1991
294 100 0.913 1991
294 125 0.217 1991
294 150 0.053 1991
294 175 0.145 1991
340 5 5.107 1991
340 25 5.4 1991
340 45 4.193 1991
340 75 1.867 1991
340 100 0.75 1991
340 125 0.18 1991
340 150 0.05 1991
5 5 7.817 1992
5 25 6.017 1992
5 45 4.967 1992
5 75 1.61 1992
5 100 0.515 1992
5 125 0.093 1992
5 150 0.035 1992
5 175 0.027 1992
45 5 12.36 1992
45 25 10.88 1992
45 45 8.085 1992
45 75 2.867 1992
45 100 1.157 1992
45 125 0.59 1992
45 150 0.147 1992
45 175 0.047 1992
65 5 6.55 1992
65 25 7.593 1992
65 45 6.06 1992
65 75 3.897 1992
65 100 0.527 1992
65 125 0.78 1992
65 150 0.17 1992
65 175 0.04 1992
108 5 6.617 1992
108 25 5.737 1992
108 45 4.32 1992
108 75 3.563 1992
108 100 1.86 1992
108 125 0.74 1992
108 150 0.123 1992
161 5 8.42 1992
161 25 8.203 1992
161 45 7.005 1992
161 75 3.86 1992
161 100 2.153 1992
161 125 1.597 1992
161 150 0.243 1992
187 5 4.1 1992
187 25 6.09 1992
187 45 2.735 1992
187 75 4.05 1992
187 100 2.327 1992
187 125 0.967 1992
187 150 0.163 1992
187 175 0.057 1992
218 5 5.963 1992
218 25 6.5 1992
218 45 5.17 1992
218 75 2.677 1992
218 100 2.133 1992
218 125 0.293 1992
218 150 0.06 1992
218 175 0.027 1992
266 5 5.803 1992
266 25 6.307 1992
266 45 5.34 1992
266 75 2.703 1992
266 100 2.293 1992
266 125 0.417 1992
266 150 0.06 1992
266 175 0.027 1992
293 5 7.743 1992
293 25 6.997 1992
293 45 6.12 1992
293 75 3.64 1992
293 100 0.79 1992
293 150 0.057 1992
293 175 0.03 1992
20 5 4.28 1993
20 25 5.497 1993
20 45 5.097 1993
20 75 2.347 1993
20 100 0.95 1993
20 125 0.26 1993
20 150 0.127 1993
20 175 0.05 1993
48 5 6.387 1993
48 25 4.363 1993
48 45 4.157 1993
48 75 0.467 1993
48 100 1.073 1993
48 125 0.307 1993
48 150 0.093 1993
48 175 0.033 1993
105 5 6.14 1993
105 25 5.443 1993
105 45 4.773 1993
105 75 3.32 1993
105 100 3.71 1993
105 125 0.183 1993
105 150 0.187 1993
105 175 0.167 1993
140 5 7.253 1993
140 25 7.59 1993
140 45 6.603 1993
140 75 5.68 1993
140 100 2.443 1993
140 125 1.323 1993
140 150 0.363 1993
140 175 0.147 1993
257 5 7.967 1993
257 25 7.527 1993
257 45 5.297 1993
257 75 3.05 1993
257 100 1.253 1993
257 125 0.48 1993
257 150 0.243 1993
257 175 0.213 1993
302 5 3.687 1993
302 25 2.71 1993
302 45 1.78 1993
302 75 1.203 1993
302 100 0.93 1993
302 125 0.227 1993
302 150 0.09 1993
302 175 0.037 1993
20 5 4.913 1994
20 25 4.917 1994
20 45 2.827 1994
20 75 1.523 1994
20 100 0.973 1994
20 125 0.147 1994
20 150 0.11 1994
20 175 0.093 1994
48 5 8.427 1994
48 25 3.567 1994
48 45 3.027 1994
48 75 0.85 1994
48 100 0.383 1994
48 125 0.15 1994
48 150 0.077 1994
48 175 0.03 1994
68 5 7.217 1994
68 25 6.397 1994
68 45 4.06 1994
68 75 2.783 1994
68 100 1.333 1994
68 125 0.587 1994
68 150 0.31 1994
68 175 0.073 1994
170 5 7.643 1994
170 25 4.84 1994
170 45 3.893 1994
170 75 2.537 1994
170 100 2.327 1994
170 125 0.853 1994
170 150 0.447 1994
170 175 0.11 1994
206 5 8.66 1994
206 25 7.15 1994
206 45 7.653 1994
206 75 3.093 1994
206 100 1.08 1994
206 125 0.247 1994
206 150 0.05 1994
206 175 0.03 1994
242 5 7.823 1994
242 25 6.167 1994
242 45 6.193 1994
242 75 3.287 1994
242 100 1.503 1994
242 125 0.493 1994
242 150 0.077 1994
242 175 0.063 1994
266 5 5.387 1994
266 25 5.633 1994
266 45 4.333 1994
266 75 2.693 1994
266 100 1.663 1994
266 125 0.34 1994
266 150 0.047 1994
266 175 0.037 1994
288 5 5.103 1994
288 25 4.363 1994
288 45 4.473 1994
288 75 1.393 1994
288 100 0.807 1994
288 125 0.35 1994
288 150 0.07 1994
288 175 0.03 1994
38 5 5.083 1995
38 25 5.26 1995
38 45 4.2 1995
38 75 2.457 1995
38 100 0.803 1995
38 125 0.55 1995
38 150 0.153 1995
63 5 7.467 1995
63 25 6.4 1995
63 45 4.737 1995
63 75 1.993 1995
63 100 1.445 1995
63 125 0.223 1995
63 150 0.067 1995
96 5 7.24 1995
96 25 6.357 1995
96 45 4.033 1995
96 75 3.22 1995
96 100 1.575 1995
96 125 0.64 1995
96 150 0.117 1995
96 175 0.047 1995
127 5 15.003 1995
127 25 12.713 1995
127 45 6.393 1995
127 75 5.797 1995
127 100 3.737 1995
127 125 1.157 1995
127 150 0.18 1995
127 175 0.047 1995
211 5 8.867 1995
211 25 6.137 1995
211 45 7.057 1995
211 75 4.117 1995
211 100 4.117 1995
211 125 0.907 1995
211 150 0.11 1995
211 175 0.107 1995
241 5 8.903 1995
241 25 6.583 1995
241 45 3.357 1995
241 100 1.69 1995
241 125 0.497 1995
241 150 0.047 1995
270 5 6.307 1995
270 25 5.59 1995
270 45 4.945 1995
270 75 2.87 1995
270 100 1.113 1995
270 125 0.12 1995
270 150 0.06 1995
270 175 0.033 1995
300 5 7.207 1995
300 25 5.8 1995
300 45 5.19 1995
300 75 1.65 1995
300 100 1.175 1995
300 125 0.28 1995
300 150 0.1 1995
300 175 0.045 1995
321 5 7.083 1995
321 25 5.337 1995
321 45 4.503 1995
321 75 2.325 1995
321 100 1.085 1995
321 125 0.127 1995
321 150 0.035 1995
321 175 0.075 1995
17 5 5.093 1996
17 25 4.727 1996
17 45 3.313 1996
17 75 0.845 1996
17 100 0.75 1996
17 125 0.17 1996
17 150 0.05 1996
87 5 7.205 1996
87 25 6.673 1996
87 45 6.37 1996
87 75 1.595 1996
87 100 1.17 1996
87 125 0.887 1996
87 150 0.1 1996
87 175 0.07 1996
115 5 6.7 1996
115 25 6.827 1996
115 45 5.263 1996
115 75 0.193 1996
115 100 1.63 1996
115 125 1.153 1996
143 5 8.853 1996
143 25 7.7 1996
143 45 5.627 1996
143 75 2.08 1996
143 100 2.143 1996
143 125 0.703 1996
143 150 0.253 1996
178 5 8.47 1996
178 25 7.497 1996
178 45 6.183 1996
178 75 0.783 1996
178 100 2.06 1996
178 125 0.65 1996
178 150 0.277 1996
209 5 8.937 1996
209 25 7.65 1996
209 45 4.94 1996
209 75 1.86 1996
209 100 0.917 1996
209 125 0.36 1996
209 150 0.1 1996
209 175 0.057 1996
234 5 10.123 1996
234 25 9.14 1996
234 45 8.707 1996
234 75 0.467 1996
234 100 1.797 1996
234 125 0.643 1996
234 150 0.087 1996
234 175 0.04 1996
276 5 10.52 1996
276 25 9.39 1996
276 45 5.237 1996
276 75 3.463 1996
276 125 0.273 1996
276 150 0.073 1996
304 5 5.853 1996
304 25 3.793 1996
304 45 1.507 1996
304 75 2.78 1996
304 100 0.873 1996
304 125 0.187 1996
304 150 0.05 1996
304 175 0.04 1996
346 5 4.637 1996
346 25 6.207 1996
346 45 3.777 1996
346 75 1 1996
346 100 0.94 1996
346 125 0.27 1996
346 150 0.103 1996
8 5 6.383 1997
8 25 4.38 1997
8 45 0.71 1997
8 75 3.01 1997
8 100 0.793 1997
8 125 0.243 1997
8 150 0.117 1997
8 175 0.043 1997
49 5 6.293 1997
49 25 4.92 1997
49 45 2.533 1997
49 75 3.52 1997
49 100 2.257 1997
49 125 0.723 1997
49 175 0.107 1997
71 5 6.983 1997
71 25 1.547 1997
71 45 4.853 1997
71 75 2.877 1997
71 100 2.633 1997
71 125 0.55 1997
71 150 0.12 1997
99 5 2.905 1997
99 25 1.567 1997
99 45 1.875 1997
99 75 2.873 1997
99 100 1.143 1997
99 125 0.087 1997
99 150 0.037 1997
99 175 0.03 1997
127 5 4.89 1997
127 25 5.253 1997
127 45 7.857 1997
127 75 2.585 1997
127 100 4.785 1997
127 125 1.245 1997
127 150 0.215 1997
127 175 0.04 1997
155 5 8.863 1997
155 25 8.11 1997
155 45 5.323 1997
155 75 2.383 1997
155 100 2.05 1997
155 125 1.117 1997
155 150 0.203 1997
155 175 0.037 1997
190 5 3.865 1997
190 25 6.845 1997
190 45 4.105 1997
190 75 2.265 1997
190 100 1.56 1997
190 125 0.525 1997
190 150 0.115 1997
214 5 3.573 1997
214 25 6.953 1997
214 45 6.047 1997
214 75 2.347 1997
214 100 1.843 1997
214 125 0.61 1997
214 150 0.143 1997
214 175 0.113 1997
268 5 5.837 1997
268 25 6.42 1997
268 45 4.353 1997
268 75 2.61 1997
268 100 1.203 1997
268 125 0.677 1997
268 150 0.17 1997
11 5 5.47 1998
11 25 5.367 1998
11 45 3.06 1998
11 75 3.093 1998
11 100 0.867 1998
11 125 0.253 1998
11 150 0.037 1998
11 175 0.063 1998
50 5 5.205 1998
50 25 4.907 1998
50 45 4.23 1998
50 75 3.39 1998
50 100 2.443 1998
50 125 0.467 1998
77 5 7.813 1998
77 25 6.45 1998
77 45 5.53 1998
77 75 4.097 1998
77 100 2.3 1998
77 125 0.57 1998
77 150 0.227 1998
77 175 0.117 1998
105 5 6.963 1998
105 25 6.577 1998
105 45 6.523 1998
105 75 3.43 1998
105 100 3.643 1998
105 125 0.573 1998
105 150 0.323 1998
133 5 7.56 1998
133 25 6.577 1998
133 45 7.313 1998
133 75 4.577 1998
133 100 2.657 1998
133 125 1.043 1998
133 150 0.267 1998
133 175 0.1 1998
168 5 6.377 1998
168 25 7.4 1998
168 45 7.037 1998
168 75 4.963 1998
168 100 3.023 1998
168 125 1.287 1998
168 150 0.37 1998
168 175 0.073 1998
196 5 8.993 1998
196 25 8.533 1998
196 45 6.89 1998
196 75 4.123 1998
196 100 2.477 1998
196 125 1.15 1998
196 150 0.197 1998
196 175 0.047 1998
222 5 12.717 1998
222 25 10.643 1998
222 45 4.387 1998
222 75 1.853 1998
222 100 1.157 1998
222 125 0.443 1998
222 150 0.177 1998
222 175 0.107 1998
271 4.9 5.07 1998
271 25.1 5.14 1998
271 45.5 4.005 1998
271 74.5 3.74 1998
271 100.4 1.36 1998
271 124.9 0.42 1998
271 151 0.19 1998
271 177.4 0.05 1998
271 5 4.48 1998
271 25 4.585 1998
271 45 4.105 1998
271 75 3.03 1998
271 100 1.215 1998
271 125 0.42 1998
271 150 0.145 1998
271 175 0.11 1998
292 5.7 6.1 1998
292 25.1 5.3 1998
292 45.5 4.17 1998
292 75.4 3.13 1998
292 100.3 1.355 1998
292 125.4 0.215 1998
292 150 0.08 1998
292 175.3 0.04 1998
292 5 4.685 1998
292 25 5.415 1998
292 45 4.68 1998
292 75 3.68 1998
292 100 1.27 1998
292 125 0.465 1998
292 150 0.105 1998
292 175 0.075 1998
315 5 6.115 1998
315 24.6 5.48 1998
315 43.9 3.21 1998
315 75.2 2.155 1998
315 100.2 0.6 1998
315 125.1 0.17 1998
315 149.7 0.065 1998
315 175.4 0.05 1998
315 5 7.07 1998
315 25 6.06 1998
315 45 4.055 1998
315 75 2.015 1998
315 100 0.595 1998
315 125 0.19 1998
315 150 0.07 1998
343 5.2 3.885 1998
343 25.5 2.188 1998
343 46.6 1.335 1998
343 74.9 0.58 1998
343 100.1 0.2 1998
343 126.5 0.12 1998
343 150.9 0.11 1998
343 175.2 0.06 1998
343 5 5.045 1998
343 25 1.905 1998
343 45 1.765 1998
343 75 0.505 1998
343 100 0.225 1998
343 125 0.17 1998
13 4.4 7.105 1999
13 25.7 7.275 1999
13 46.2 4.925 1999
13 75.9 1.785 1999
13 100.6 0.34 1999
13 125.4 0.22 1999
13 150.2 0.085 1999
13 175.6 0.04 1999
13 5 7.75 1999
13 25 6.055 1999
13 45 4.51 1999
13 75 1.545 1999
13 100 0.6 1999
13 125 0.27 1999
13 150 0.075 1999
49 5 6.3 1999
49 25 4.925 1999
49 45 3.3 1999
49 75 3.57 1999
49 100 1.325 1999
49 125 0.47 1999
49 150 0.105 1999
49 175 0.015 1999
76 5 6.283 1999
76 25 6.177 1999
76 45 6.337 1999
76 75 4.187 1999
76 100 2.877 1999
76 125 0.453 1999
76 150 0.183 1999
76 175 0.06 1999
104 5 6.357 1999
104 25 7.053 1999
104 45 7.087 1999
104 75 4.56 1999
104 100 2.217 1999
104 125 1.223 1999
104 150 0.367 1999
130 5 9.967 1999
130 25 8.323 1999
130 45 6.103 1999
130 75 5.203 1999
130 100 1.227 1999
130 125 0.247 1999
195 5 5.837 1999
195 25 5.66 1999
195 45 4.973 1999
195 75 3.79 1999
195 100 2.465 1999
195 125 1.11 1999
195 150 0.243 1999
195 175 0.077 1999
226 5 9.5 1999
226 25 9.207 1999
226 45 9.307 1999
226 75 4.233 1999
226 100 1.613 1999
226 125 0.237 1999
226 150 0.107 1999
288 5 7.475 1999
288 25 6.35 1999
288 45 5.497 1999
288 75 4.23 1999
288 100 2.41 1999
288 125 0.57 1999
288 150 0.103 1999
313 5 6.713 1999
313 25 5.652 1999
313 45 5.1 1999
313 75 2.31 1999
313 100 0.473 1999
313 125 0.397 1999
313 150 0.113 1999
349 5 5.823 1999
349 25 6.257 1999
349 45 5.137 1999
349 75 1.933 1999
349 100 0.97 1999
349 125 0.257 1999
349 150 0.107 1999
349 175 0.1 1999
34 24.3 3.77 2000
34 45 4.22 2000
34 5 5.213 2000
34 25 4.25 2000
34 45 3.433 2000
34 75 2.003 2000
34 100 0.997 2000
34 125 0.5 2000
34 150 0.123 2000
34 175 0.05 2000
61 24 6.907 2000
61 44.7 6.273 2000
61 5 6.9 2000
61 25 7.573 2000
61 45 6.54 2000
61 75 4.013 2000
61 100 2.41 2000
61 125 0.91 2000
61 150 0.167 2000
61 175 0.053 2000
89 25.2 5.567 2000
89 45.2 4.857 2000
89 5 5.913 2000
89 25 5.987 2000
89 45 5.04 2000
89 75 2.983 2000
89 100 1.073 2000
89 125 1.08 2000
89 150 0.187 2000
89 175 0.06 2000
117 24.9 9.167 2000
117 45.4 7.913 2000
117 5 9.377 2000
117 25 8.257 2000
117 45 6.407 2000
117 75 4.663 2000
117 100 2.523 2000
117 125 0.09 2000
117 150 0.19 2000
117 175 0.55 2000
146 5.2 5.42 2000
146 24.7 5.447 2000
146 45 4.28 2000
146 74.5 3.08 2000
146 99.1 1.973 2000
146 125.1 1.133 2000
146 150.3 0.347 2000
146 175.3 0.073 2000
146 25 5.11 2000
146 45 5.265 2000
173 5 25.23 2000
173 24.6 27.22 2000
173 45.4 3.6 2000
173 75.6 1.45 2000
173 99.7 1.375 2000
173 124.9 0.873 2000
173 149.8 0.495 2000
173 174.5 0.077 2000
173 25 20.225 2000
173 45 6.005 2000
208 4.6 16.04 2000
208 24.8 15.299 2000
208 44.3 9.063 2000
208 74.2 2.705 2000
208 100 1.217 2000
208 125.5 0.507 2000
208 149.3 0.127 2000
208 173.9 0.057 2000
236 4.9 7.187 2000
236 25 8.093 2000
236 44.9 8.07 2000
236 74.1 5.395 2000
236 98.8 2.517 2000
236 125.1 0.583 2000
236 149.5 0.12 2000
236 177.1 0.045 2000
236 25 5.775 2000
236 45 6.655 2000
292 4.7 4.917 2000
292 24.9 4.423 2000
292 45 3.8 2000
292 74.1 2.375 2000
292 98.9 1.357 2000
292 125.3 0.27 2000
335 4.7 7.557 2000
335 25.1 6.713 2000
335 44.9 5.033 2000
335 74.4 4.265 2000
335 99.1 0.923 2000
335 123.9 0.23 2000
355 5 4.15 2000
355 24.3 3.473 2000
355 43.1 2.303 2000
355 73.7 1.38 2000
355 100.4 0.82 2000
355 122.2 0.347 2000
17 3.7 5.983 2001
17 23.4 6.407 2001
17 44 4.427 2001
17 73.5 4.57 2001
17 99.5 1.813 2001
17 123.4 0.37 2001
81 3.9 3.887 2001
81 23.8 3.293 2001
81 44 4.717 2001
81 75.4 3.165 2001
81 98.9 0.9 2001
81 123.7 0.497 2001
108 3.9 7.16 2001
108 23.6 7.45 2001
108 43.3 6.693 2001
108 73.8 4.783 2001
108 98.7 3.223 2001
108 123.4 1.7 2001
137 4.8 8.073 2001
137 24.7 7.687 2001
137 44.8 5.56 2001
137 74.5 2.37 2001
137 98.8 1.99 2001
137 124.1 1.19 2001
165 3.9 6.12 2001
165 23.5 6.083 2001
165 44.1 5.757 2001
165 73.4 4.573 2001
165 99.4 2.453 2001
165 122.7 1.637 2001
192 4.3 6.883 2001
192 23.7 8.987 2001
192 44.7 5.17 2001
192 73.9 5.5 2001
192 100.2 2.29 2001
192 123.7 0.75 2001
220 4.7 6.123 2001
220 24.9 6.107 2001
220 44.8 5.45 2001
220 75.6 3.383 2001
220 99.1 2.39 2001
220 124.9 0.39 2001
275 4.9 8.48 2001
275 25.8 9.517 2001
275 45.1 6.15 2001
275 74.1 3.823 2001
275 100.9 1.877 2001
275 124.5 0.557 2001
296 4.8 8.097 2001
296 24.7 9.01 2001
296 45.3 7.26 2001
296 75.1 2.93 2001
296 100.4 0.66 2001
296 124.7 0.193 2001
321 4.1 8.347 2001
321 24.4 6.497 2001
321 44.1 4.63 2001
321 74.5 2.81 2001
321 99.4 0.76 2001
321 124.3 0.19 2001
16 4.4 5.82 2002
16 23.6 4.487 2002
16 44.5 4.4 2002
16 74.1 1.087 2002
16 98.8 1.19 2002
16 124.4 0.437 2002
52 4 7.43 2002
52 24.3 6.613 2002
52 44.7 5.137 2002
52 74 4.053 2002
52 100.7 3.11 2002
52 125.6 0.5 2002
72 4.1 8.06 2002
72 24.2 7.743 2002
72 44 9.043 2002
72 74.5 4.843 2002
72 98.1 3.957 2002
72 123.7 1.59 2002
141 4.1 8.18 2002
141 24 7.727 2002
141 43.5 7.287 2002
